"filename", "language", "C++", "Markdown", "HTML", "JSON with Comments", "JSON", "CMake", "Makefile", "CMake Cache", "TypeScript", "Log", "C", "comment", "blank", "total"
"c:\Projects\Appetito\build\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1451, 0, 0, 460, 1911
"c:\Projects\Appetito\build\CMakeFiles\client.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Projects\Appetito\build\CMakeFiles\client.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Projects\Appetito\build\CMakeFiles\client.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Projects\Appetito\build\CMakeFiles\server.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Projects\Appetito\build\CMakeFiles\server.dir\cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Projects\Appetito\build\CMakeFiles\server.dir\compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Projects\Appetito\build\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 55, 56, 223
"c:\Projects\Appetito\build\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Projects\Appetito\build\compile_commands.json", "JSON", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 72
"c:\Projects\Appetito\libs\asio\include\asio.hpp", "C++", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 209
"c:\Projects\Appetito\libs\asio\include\asio\any_io_executor.hpp", "C++", 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 54, 304
"c:\Projects\Appetito\libs\asio\include\asio\append.hpp", "C++", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 79
"c:\Projects\Appetito\libs\asio\include\asio\as_tuple.hpp", "C++", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 22, 140
"c:\Projects\Appetito\libs\asio\include\asio\associated_allocator.hpp", "C++", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 30, 178
"c:\Projects\Appetito\libs\asio\include\asio\associated_cancellation_slot.hpp", "C++", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 30, 179
"c:\Projects\Appetito\libs\asio\include\asio\associated_executor.hpp", "C++", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 36, 223
"c:\Projects\Appetito\libs\asio\include\asio\associator.hpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 36
"c:\Projects\Appetito\libs\asio\include\asio\async_result.hpp", "C++", 1276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 248, 1628
"c:\Projects\Appetito\libs\asio\include\asio\awaitable.hpp", "C++", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 33, 143
"c:\Projects\Appetito\libs\asio\include\asio\basic_datagram_socket.hpp", "C++", 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 809, 76, 1397
"c:\Projects\Appetito\libs\asio\include\asio\basic_deadline_timer.hpp", "C++", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 441, 49, 716
"c:\Projects\Appetito\libs\asio\include\asio\basic_file.hpp", "C++", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 435, 58, 830
"c:\Projects\Appetito\libs\asio\include\asio\basic_io_object.hpp", "C++", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 46, 291
"c:\Projects\Appetito\libs\asio\include\asio\basic_random_access_file.hpp", "C++", 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 389, 51, 702
"c:\Projects\Appetito\libs\asio\include\asio\basic_raw_socket.hpp", "C++", 509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 803, 76, 1388
"c:\Projects\Appetito\libs\asio\include\asio\basic_readable_pipe.hpp", "C++", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 307, 52, 636
"c:\Projects\Appetito\libs\asio\include\asio\basic_seq_packet_socket.hpp", "C++", 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 487, 52, 836
"c:\Projects\Appetito\libs\asio\include\asio\basic_serial_port.hpp", "C++", 397, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 533, 71, 1001
"c:\Projects\Appetito\libs\asio\include\asio\basic_signal_set.hpp", "C++", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 40, 599
"c:\Projects\Appetito\libs\asio\include\asio\basic_socket.hpp", "C++", 594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1258, 96, 1948
